entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
GU2|,GU2,"2,3-di-O-methyl-alpha-L-idopyranuronic acid (GU2)",GU2,idopyranuronic acid,"2,3-di-o-methyl-alpha-l-idopyranuronic acid",alpha_only,GU2,"2,3-di-O-methyl-alpha-L-idopyranuronic acid",,,GU2,GU2
IDS|,IDS,2-O-sulfo-alpha-L-idopyranuronic acid (IDS),IDS,idopyranuronic acid,2-o-sulfo-alpha-l-idopyranuronic acid,alpha_only,IDS,2-O-sulfo-alpha-L-idopyranuronic acid,,,IDS,IDS
Z9K|,Z9K,3-O-methyl-2-O-sulfo-alpha-L-idopyranuronic acid (Z9K),Z9K,idopyranuronic acid,3-o-methyl-2-o-sulfo-alpha-l-idopyranuronic acid,alpha_only,Z9K,3-O-methyl-2-O-sulfo-alpha-L-idopyranuronic acid,,,Z9K,Z9K
|IDR,IDR,alpha-L-idopyranuronic acid (IDR),IDR,idopyranuronic acid,idopyranuronic acid,beta_only,,,IDR,alpha-L-idopyranuronic acid,IDR,IDR
8S0|,8S0,"L-glucono-1,5-lactone (8S0)",8S0,l-glucono-1 5-lactone,"glucono-1,5-lactone",alpha_only,8S0,"L-glucono-1,5-lactone",,,8S0,8S0
|2FL,2FL,2-FLUORO-2-DEOXY-LACTOSE (2FL),2FL,lactose,2-fluoro-2-deoxy-lactose,beta_only,,,2FL,2-FLUORO-2-DEOXY-LACTOSE,2FL,2FL
LBT|,LBT,ALPHA-LACTOSE (LBT),LBT,lactose,lactose,alpha_only,LBT,ALPHA-LACTOSE,,,LBT,LBT
|LAT,LAT,BETA-LACTOSE (LAT),LAT,lactose,lactose,beta_only,,,LAT,BETA-LACTOSE,LAT,LAT
EQV|,EQV,Loganic acid (EQV),EQV,loganic acid,loganic acid,alpha_only,EQV,Loganic acid,,,EQV,EQV
|LDY,LDY,alpha-D-lyxopyranose (LDY),LDY,lyxopyranose,lyxopyranose,beta_only,,,LDY,alpha-D-lyxopyranose,LDY,LDY
|Z4W,Z4W,beta-D-lyxopyranose (Z4W),Z4W,lyxopyranose,lyxopyranose,beta_only,,,Z4W,beta-D-lyxopyranose,Z4W,Z4W
MAL|,MAL,MALTOSE (MAL),MAL,maltose,maltose,alpha_only,MAL,MALTOSE,,,MAL,MAL
M1F|,M1F,alpha-maltose 1-phosphate (M1F),M1F,maltose,maltose 1-phosphate,alpha_only,M1F,alpha-maltose 1-phosphate,,,M1F,M1F
AH2,AH2,1-deoxy-alpha-D-mannopyranose (AH2),AH2,mannopyranose,1-deoxy-alpha-d-mannopyranose,unknown,,,,,"AH2, ASO, NHF",AH2
M1P|,M1P,1-O-phosphono-alpha-D-mannopyranose (M1P),M1P,mannopyranose,1-o-phosphono-alpha-d-mannopyranose,alpha_only,M1P,1-O-phosphono-alpha-D-mannopyranose,,,M1P,M1P
7K3,7K3,1-thio-alpha-D-mannopyranose (7K3),7K3,mannopyranose,1-thio-alpha-d-mannopyranose,unknown,,,,,"7K3, Z9E",7K3
BMX|,BMX,2-acetamido-2-deoxy-6-O-phosphono-alpha-D-mannopyranose (BMX),BMX,mannopyranose,2-acetamido-2-deoxy-6-o-phosphono-alpha-d-mannopyranose,alpha_only,BMX,2-acetamido-2-deoxy-6-O-phosphono-alpha-D-mannopyranose,,,BMX,BMX
BM3|,BM3,2-acetamido-2-deoxy-alpha-D-mannopyranose (BM3),BM3,mannopyranose,2-acetamido-2-deoxy-alpha-d-mannopyranose,alpha_only,BM3,2-acetamido-2-deoxy-alpha-D-mannopyranose,,,BM3,BM3
|BM7,BM7,2-acetamido-2-deoxy-beta-D-mannopyranose (BM7),BM7,mannopyranose,2-acetamido-2-deoxy-beta-d-mannopyranose,beta_only,,,BM7,2-acetamido-2-deoxy-beta-D-mannopyranose,BM7,BM7
6MN|,6MN,2-amino-2-deoxy-6-O-phosphono-alpha-D-mannopyranose (6MN),6MN,mannopyranose,2-amino-2-deoxy-6-o-phosphono-alpha-d-mannopyranose,alpha_only,6MN,2-amino-2-deoxy-6-O-phosphono-alpha-D-mannopyranose,,,6MN,6MN
95Z|,95Z,2-amino-2-deoxy-alpha-D-mannopyranose (95Z),95Z,mannopyranose,2-amino-2-deoxy-alpha-d-mannopyranose,alpha_only,95Z,2-amino-2-deoxy-alpha-D-mannopyranose,,,95Z,95Z
MAF|MBF,MAF,2-deoxy-2-fluoro-alpha-D-mannopyranose (MAF),MAF,mannopyranose,2-deoxy-2-fluoro-alpha-d-mannopyranose,both,MAF,2-deoxy-2-fluoro-alpha-D-mannopyranose,MBF,2-deoxy-2-fluoro-beta-D-mannopyranose,MAF,"MAF, MBF"
SG7|,SG7,"3,4-di-O-acetyl-6-O-sulfamoyl-alpha-D-mannopyranose (SG7)",SG7,mannopyranose,"3,4-di-o-acetyl-6-o-sulfamoyl-alpha-d-mannopyranose",alpha_only,SG7,"3,4-di-O-acetyl-6-O-sulfamoyl-alpha-D-mannopyranose",,,SG7,SG7
3FM|,3FM,3-O-carbamoyl-alpha-D-mannopyranose (3FM),3FM,mannopyranose,3-o-carbamoyl-alpha-d-mannopyranose,alpha_only,3FM,3-O-carbamoyl-alpha-D-mannopyranose,,,3FM,3FM
ZCZ|,ZCZ,"4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-2-O-methyl-alpha-D-mannopyranose (ZCZ)",ZCZ,mannopyranose,"4,6-dideoxy-4-{[(2r)-2,4-dihydroxybutanoyl]amino}-2-o-methyl-alpha-d-mannopyranose",alpha_only,ZCZ,"4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-2-O-methyl-alpha-D-mannopyranose",,,ZCZ,ZCZ
MRH|9WJ,9WJ,"4-acetamido-4,6-dideoxy-alpha-D-mannopyranose (MRH)",MRH,mannopyranose,"4-acetamido-4,6-dideoxy-alpha-d-mannopyranose",both,MRH,"4-acetamido-4,6-dideoxy-alpha-D-mannopyranose",9WJ,"4-acetamido-4,6-dideoxy-beta-D-mannopyranose",9WJ,"9WJ, MRH"
7CV|,7CV,"6-deoxy-2,3-di-O-methyl-alpha-L-mannopyranose (7CV)",7CV,mannopyranose,"6-deoxy-2,3-di-o-methyl-alpha-l-mannopyranose",alpha_only,7CV,"6-deoxy-2,3-di-O-methyl-alpha-L-mannopyranose",,,7CV,7CV
M6P|,M6P,6-O-phosphono-alpha-D-mannopyranose (M6P),M6P,mannopyranose,6-o-phosphono-alpha-d-mannopyranose,alpha_only,M6P,6-O-phosphono-alpha-D-mannopyranose,,,M6P,M6P
|M6D,M6D,6-O-phosphono-beta-D-mannopyranose (M6D),M6D,mannopyranose,6-o-phosphono-beta-d-mannopyranose,beta_only,,,M6D,6-O-phosphono-beta-D-mannopyranose,M6D,M6D
TWG|,TWG,6-thio-alpha-D-mannopyranose (TWG),TWG,mannopyranose,6-thio-alpha-d-mannopyranose,alpha_only,TWG,6-thio-alpha-D-mannopyranose,,,"TWG, Z4Y",TWG
MAN|BMA,BMA,alpha-D-mannopyranose (MAN),MAN,mannopyranose,mannopyranose,both,MAN,alpha-D-mannopyranose,BMA,beta-D-mannopyranose,BMA,"BMA, MAN"
96O|,96O,"(1-methyl-1H-1,2,3-triazol-4-yl)methyl alpha-D-mannopyranoside (96O)",96O,mannopyranoside,"(1-methyl-1h-1,2,3-triazol-4-yl)methyl alpha-d-mannopyranoside",alpha_only,96O,"(1-methyl-1H-1,2,3-triazol-4-yl)methyl alpha-D-mannopyranoside",,,96O,96O
TVY|,TVY,(1S)-2-amino-1-phenylethyl alpha-D-mannopyranoside (TVY),TVY,mannopyranoside,(1s)-2-amino-1-phenylethyl alpha-d-mannopyranoside,alpha_only,TVY,(1S)-2-amino-1-phenylethyl alpha-D-mannopyranoside,,,TVY,TVY
|M2F,M2F,"2,4-dinitrophenyl 2-deoxy-2-fluoro-beta-D-mannopyranoside (M2F)",M2F,mannopyranoside,"2,4-dinitrophenyl 2-deoxy-2-fluoro-beta-d-mannopyranoside",beta_only,,,M2F,"2,4-dinitrophenyl 2-deoxy-2-fluoro-beta-D-mannopyranoside",M2F,M2F
8LR|,8LR,2-hydroxyethyl alpha-D-mannopyranoside (8LR),8LR,mannopyranoside,2-hydroxyethyl alpha-d-mannopyranoside,alpha_only,8LR,2-hydroxyethyl alpha-D-mannopyranoside,,,8LR,8LR
HNV|,HNV,3-(4-methoxyphenyl)prop-2-yn-1-yl alpha-D-mannopyranoside (HNV),HNV,mannopyranoside,3-(4-methoxyphenyl)prop-2-yn-1-yl alpha-d-mannopyranoside,alpha_only,HNV,3-(4-methoxyphenyl)prop-2-yn-1-yl alpha-D-mannopyranoside,,,HNV,HNV
FK9|,FK9,3-(propylsulfanyl)propyl alpha-D-mannopyranoside (FK9),FK9,mannopyranoside,3-(propylsulfanyl)propyl alpha-d-mannopyranoside,alpha_only,FK9,3-(propylsulfanyl)propyl alpha-D-mannopyranoside,,,FK9,FK9
FVQ|,FVQ,3-(pyridin-3-yl)prop-2-yn-1-yl alpha-D-mannopyranoside (FVQ),FVQ,mannopyranoside,3-(pyridin-3-yl)prop-2-yn-1-yl alpha-d-mannopyranoside,alpha_only,FVQ,3-(pyridin-3-yl)prop-2-yn-1-yl alpha-D-mannopyranoside,,,FVQ,FVQ
HNW|,HNW,4-(3-hydroxyprop-1-yn-1-yl)phenyl alpha-D-mannopyranoside (HNW),HNW,mannopyranoside,4-(3-hydroxyprop-1-yn-1-yl)phenyl alpha-d-mannopyranoside,alpha_only,HNW,4-(3-hydroxyprop-1-yn-1-yl)phenyl alpha-D-mannopyranoside,,,HNW,HNW
PNA|,PNA,4-nitrophenyl alpha-D-mannopyranoside (PNA),PNA,mannopyranoside,4-nitrophenyl alpha-d-mannopyranoside,alpha_only,PNA,4-nitrophenyl alpha-D-mannopyranoside,,,PNA,PNA
|MBE,MBE,4-nitrophenyl beta-D-mannopyranoside (MBE),MBE,mannopyranoside,4-nitrophenyl beta-d-mannopyranoside,beta_only,,,MBE,4-nitrophenyl beta-D-mannopyranoside,MBE,MBE
XMM|,XMM,5-bromo-4-chloro-1H-indol-3-yl alpha-D-mannopyranoside (XMM),XMM,mannopyranoside,5-bromo-4-chloro-1h-indol-3-yl alpha-d-mannopyranoside,alpha_only,XMM,5-bromo-4-chloro-1H-indol-3-yl alpha-D-mannopyranoside,,,XMM,XMM
DEG|,DEG,butyl alpha-D-mannopyranoside (DEG),DEG,mannopyranoside,butyl alpha-d-mannopyranoside,alpha_only,DEG,butyl alpha-D-mannopyranoside,,,DEG,DEG
