entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
KDO|,KDO,3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid (KDO),KDO,ulopyranosonic acid,3-deoxy-alpha-d-manno-oct-2-ulopyranosonic acid,alpha_only,KDO,3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid,,,KDO,KDO
|PKM,PKM,"4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid (PKM)",PKM,ulopyranosonic acid,"4-o-acetyl-5-acetamido-3,5-dideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosonic acid",beta_only,,,PKM,"4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid",PKM,PKM
|79J,79J,"4-O-acetyl-5-acetamido-3,5-dideoxy-L-glycero-alpha-D-galacto-non-2-ulopyranosonic acid (79J)",79J,ulopyranosonic acid,"4-o-acetyl-5-acetamido-3,5-dideoxy-l-glycero-alpha-d-galacto-non-2-ulopyranosonic acid",beta_only,,,79J,"4-O-acetyl-5-acetamido-3,5-dideoxy-L-glycero-alpha-D-galacto-non-2-ulopyranosonic acid",79J,79J
6PZ|,6PZ,"5,7-bisacetamido-3,5,7,9-tetradeoxy-L-glycero-alpha-L-manno-non-2-ulopyranosonic acid (6PZ)",6PZ,ulopyranosonic acid,"5,7-bisacetamido-3,5,7,9-tetradeoxy-l-glycero-alpha-l-manno-non-2-ulopyranosonic acid",alpha_only,6PZ,"5,7-bisacetamido-3,5,7,9-tetradeoxy-L-glycero-alpha-L-manno-non-2-ulopyranosonic acid",,,6PZ,6PZ
FSI|,FSI,"5-acetamido-3,5-dideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid (FSI)",FSI,ulopyranosonic acid,"5-acetamido-3,5-dideoxy-3-fluoro-d-erythro-alpha-l-manno-non-2-ulopyranosonic acid",alpha_only,FSI,"5-acetamido-3,5-dideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid",,,FSI,FSI
BFN|,BFN,"5-acetamido-9-(benzoylamino)-3,5,9-trideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid (BFN)",BFN,ulopyranosonic acid,"5-acetamido-9-(benzoylamino)-3,5,9-trideoxy-3-fluoro-d-erythro-alpha-l-manno-non-2-ulopyranosonic acid",alpha_only,BFN,"5-acetamido-9-(benzoylamino)-3,5,9-trideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid",,,BFN,BFN
|5N6,5N6,"9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid (5N6)",5N6,ulopyranosonic acid,"9-o-acetyl-5-acetamido-3,5-dideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosonic acid",beta_only,,,5N6,"9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid",5N6,5N6
KO1|,KO1,D-glycero-alpha-D-talo-oct-2-ulopyranosonic acid (KO1),KO1,ulopyranosonic acid,glycero-alpha-d-talo-oct-2-ulopyranosonic acid,alpha_only,KO1,D-glycero-alpha-D-talo-oct-2-ulopyranosonic acid,,,KO1,KO1
|KBG,KBG,beta-D-arabino-hexopyranos-2-ulose (KBG),KBG,ulose,arabino-hexopyranos-2-ulose,beta_only,,,KBG,beta-D-arabino-hexopyranos-2-ulose,KBG,KBG
RER|,RER,vancosamine (RER),RER,vancosamine,vancosamine,alpha_only,RER,vancosamine,,,RER,RER
X1P|,X1P,1-O-phosphono-alpha-D-xylopyranose (X1P),X1P,xylopyranose,1-o-phosphono-alpha-d-xylopyranose,alpha_only,X1P,1-O-phosphono-alpha-D-xylopyranose,,,X1P,X1P
X2F|,X2F,2-deoxy-2-fluoro-alpha-D-xylopyranose (X2F),X2F,xylopyranose,2-deoxy-2-fluoro-alpha-d-xylopyranose,alpha_only,X2F,2-deoxy-2-fluoro-alpha-D-xylopyranose,,,X2F,X2F
TXB|TWY,TWY,4-deoxy-4-thio-alpha-D-xylopyranose (TXB),TXB,xylopyranose,4-deoxy-4-thio-alpha-d-xylopyranose,both,TXB,4-deoxy-4-thio-alpha-D-xylopyranose,TWY,4-thio-beta-D-xylopyranose,TWY,"TWY, TXB"
XYS|XYP,XYP,alpha-D-xylopyranose (XYS),XYS,xylopyranose,xylopyranose,both,XYS,alpha-D-xylopyranose,XYP,beta-D-xylopyranose,XYP,"XYP, XYS"
HSY|LXC,HSY,alpha-L-xylopyranose (HSY),HSY,xylopyranose,xylopyranose,both,HSY,alpha-L-xylopyranose,LXC,beta-L-xylopyranose,HSY,"HSY, LXC"
|C3X,C3X,(2R)-oxiran-2-ylmethyl beta-D-xylopyranoside (C3X),C3X,xylopyranoside,(2r)-oxiran-2-ylmethyl beta-d-xylopyranoside,beta_only,,,C3X,(2R)-oxiran-2-ylmethyl beta-D-xylopyranoside,C3X,C3X
|07E,07E,(3S)-3-hydroxybutyl beta-D-xylopyranoside (07E),07E,xylopyranoside,(3s)-3-hydroxybutyl beta-d-xylopyranoside,beta_only,,,07E,(3S)-3-hydroxybutyl beta-D-xylopyranoside,07E,07E
|XIL,XIL,"(3S,4R)-3-hydroxy-2-oxopiperidin-4-yl beta-D-xylopyranoside (XIL)",XIL,xylopyranoside,"(3s,4r)-3-hydroxy-2-oxopiperidin-4-yl beta-d-xylopyranoside",beta_only,,,XIL,"(3S,4R)-3-hydroxy-2-oxopiperidin-4-yl beta-D-xylopyranoside",XIL,XIL
|C5X,C5X,3-[(2R)-oxiran-2-yl]propyl beta-D-xylopyranoside (C5X),C5X,xylopyranoside,3-[(2r)-oxiran-2-yl]propyl beta-d-xylopyranoside,beta_only,,,C5X,3-[(2R)-oxiran-2-yl]propyl beta-D-xylopyranoside,C5X,C5X
|Z4U,Z4U,methyl 4-thio-alpha-D-xylopyranoside (Z4U),Z4U,xylopyranoside,methyl 4-thio-alpha-d-xylopyranoside,beta_only,,,Z4U,methyl 4-thio-alpha-D-xylopyranoside,Z4U,Z4U
|6MJ,6MJ,methyl beta-D-xylopyranoside (6MJ),6MJ,xylopyranoside,methyl beta-d-xylopyranoside,beta_only,,,6MJ,methyl beta-D-xylopyranoside,6MJ,6MJ
XLS,XLS,D-xylose (XLS),XLS,xylose,xylose,unknown,,,,,"XLS, XYL",XLS
